filename,filename_ms1,sample_id,subject_id,replicate_or_accession,sample_type,species,tissue,collection_date,treatment_group,notes,host_genus,host_species,host_sex,animal_type,collection_event,treatment,egg_mass,tank,geo_loc_name,state,gps_lat,gps_lon,collector,metamorphosis_date,basidiobolus_feeding_date,parent_biosample_collection_date,chem_sample_type,n_pooled_biosamples,animal_notes_lab
UHM17-22403.mzML,UHM17-22403_MS1.mzML,UHM17-22403,UHM17,22403,sample,Lithobates sylvaticus,fecal,2022-05-12,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-02,2022-03-10,2022-05-12,,17,
UHM18-10842.mzML,UHM18-10842_MS1.mzML,UHM18-10842,UHM18,10842,sample,Lithobates sylvaticus,fecal,2022-03-11,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-03,2022-03-10,2022-03-11,,15,
UHM18-22438.mzML,UHM18-22438_MS1.mzML,UHM18-22438,UHM18,22438,sample,Lithobates sylvaticus,fecal,2022-04-07,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-03,2022-03-10,2022-04-07,,11,
UHM18-22440.mzML,UHM18-22440_MS1.mzML,UHM18-22440,UHM18,22440,sample,Lithobates sylvaticus,fecal,2022-05-09,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-03,2022-03-10,2022-05-09,,17,
UHM20-10843.mzML,UHM20-10843_MS1.mzML,UHM20-10843,UHM20,10843,sample,Lithobates sylvaticus,fecal,2022-03-11,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-04,2022-03-10,2022-03-11,,14,
UHM20-22442.mzML,UHM20-22442_MS1.mzML,UHM20-22442,UHM20,22442,sample,Lithobates sylvaticus,fecal,2022-04-11,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-04,2022-03-10,2022-04-11,,11,
UHM20-22444.mzML,UHM20-22444_MS1.mzML,UHM20-22444,UHM20,22444,sample,Lithobates sylvaticus,fecal,2022-05-09,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-04,2022-03-10,2022-05-09,,12,
UHM22-22456.mzML,UHM22-22456_MS1.mzML,UHM22-22456,UHM22,22456,sample,Lithobates sylvaticus,fecal,2022-03-14,control,,Lithobates,sylvaticus,NA,frog,Walker,control,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-03-07,2022-03-12,2022-03-14,,16,
UHM22-22458.mzML,UHM22-22458_MS1.mzML,UHM22-22458,UHM22,22458,sample,Lithobates sylvaticus,fecal,2022-04-12,control,,Lithobates,sylvaticus,NA,frog,Walker,control,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-03-07,2022-03-12,2022-04-12,,18,
UHM22-22460.mzML,UHM22-22460_MS1.mzML,UHM22-22460,UHM22,22460,sample,Lithobates sylvaticus,fecal,2022-05-12,control,,Lithobates,sylvaticus,NA,frog,Walker,control,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-03-07,2022-03-12,2022-05-12,,20,
UHM27-10844.mzML,UHM27-10844_MS1.mzML,UHM27-10844,UHM27,10844,sample,Lithobates sylvaticus,fecal,2022-03-17,control,,Lithobates,sylvaticus,NA,frog,Walker,control,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-07,2022-03-16,2022-03-17,,13,
UHM31-10845.mzML,UHM31-10845_MS1.mzML,UHM31-10845,UHM31,10845,sample,Lithobates sylvaticus,fecal,2022-03-18,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-08,2022-03-16,2022-03-18,,9,
UHM31-22462.mzML,UHM31-22462_MS1.mzML,UHM31-22462,UHM31,22462,sample,Lithobates sylvaticus,fecal,2022-04-11,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-08,2022-03-16,2022-04-11,,15,
UHM31-22464.mzML,UHM31-22464_MS1.mzML,UHM31-22464,UHM31,22464,sample,Lithobates sylvaticus,fecal,2022-05-11,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-08,2022-03-16,2022-05-11,,17,
UHM33-10846.mzML,UHM33-10846_MS1.mzML,UHM33-10846,UHM33,10846,sample,Lithobates sylvaticus,fecal,2022-03-18,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,1,1,Bridgestone Firestone WMA,TN,,,Romer,2022-03-09,2022-03-16,2022-03-18,,12,
UHM36-10847.mzML,UHM36-10847_MS1.mzML,UHM36-10847,UHM36,10847,sample,Lithobates sylvaticus,fecal,2022-03-17,control,,Lithobates,sylvaticus,NA,frog,Walker,control,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-09,2022-03-16,2022-03-17,,14,
UHM36-22406.mzML,UHM36-22406_MS1.mzML,UHM36-22406,UHM36,22406,sample,Lithobates sylvaticus,fecal,2022-04-11,control,,Lithobates,sylvaticus,NA,frog,Walker,control,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-09,2022-03-16,2022-04-11,,16,
UHM36-22408.mzML,UHM36-22408_MS1.mzML,UHM36-22408,UHM36,22408,sample,Lithobates sylvaticus,fecal,2022-05-16,control,,Lithobates,sylvaticus,NA,frog,Walker,control,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-09,2022-03-16,2022-05-16,,6,
UHM38-10848.mzML,UHM38-10848_MS1.mzML,UHM38-10848,UHM38,10848,sample,Lithobates sylvaticus,fecal,2022-03-17,control,,Lithobates,sylvaticus,NA,frog,Walker,control,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-09,2022-03-16,2022-03-17,,16,
UHM38-22418.mzML,UHM38-22418_MS1.mzML,UHM38-22418,UHM38,22418,sample,Lithobates sylvaticus,fecal,2022-04-07,control,,Lithobates,sylvaticus,NA,frog,Walker,control,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-09,2022-03-16,2022-04-07,,16,
UHM38-22420.mzML,UHM38-22420_MS1.mzML,UHM38-22420,UHM38,22420,sample,Lithobates sylvaticus,fecal,2022-05-06,control,,Lithobates,sylvaticus,NA,frog,Walker,control,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-09,2022-03-16,2022-05-06,,14,
UHM40-10849.mzML,UHM40-10849_MS1.mzML,UHM40-10849,UHM40,10849,sample,Lithobates sylvaticus,fecal,2022-03-17,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-03-17,,14,
UHM40-22410.mzML,UHM40-22410_MS1.mzML,UHM40-22410,UHM40,22410,sample,Lithobates sylvaticus,fecal,2022-04-11,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-04-11,,13,
UHM40-22412.mzML,UHM40-22412_MS1.mzML,UHM40-22412,UHM40,22412,sample,Lithobates sylvaticus,fecal,2022-05-13,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-05-13,,15,
UHM41-10850.mzML,UHM41-10850_MS1.mzML,UHM41-10850,UHM41,10850,sample,Lithobates sylvaticus,fecal,2022-03-17,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-03-17,,13,
UHM41-22466.mzML,UHM41-22466_MS1.mzML,UHM41-22466,UHM41,22466,sample,Lithobates sylvaticus,fecal,2022-04-11,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-04-11,,14,
UHM41-22468.mzML,UHM41-22468_MS1.mzML,UHM41-22468,UHM41,22468,sample,Lithobates sylvaticus,fecal,2022-05-11,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,3,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-05-11,,16,
UHM43-10851.mzML,UHM43-10851_MS1.mzML,UHM43-10851,UHM43,10851,sample,Lithobates sylvaticus,fecal,2022-03-17,control,,Lithobates,sylvaticus,NA,frog,Walker,control,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-03-17,,13,
UHM44-10852.mzML,UHM44-10852_MS1.mzML,UHM44-10852,UHM44,10852,sample,Lithobates sylvaticus,fecal,2022-03-18,STP1717.1 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1717.1 pilot,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-03-18,,13,
UHM45-10853.mzML,UHM45-10853_MS1.mzML,UHM45-10853,UHM45,10853,sample,Lithobates sylvaticus,fecal,2022-03-17,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-03-17,,12,
UHM45-22434.mzML,UHM45-22434_MS1.mzML,UHM45-22434,UHM45,22434,sample,Lithobates sylvaticus,fecal,2022-04-11,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-04-11,,14,
UHM45-22436.mzML,UHM45-22436_MS1.mzML,UHM45-22436,UHM45,22436,sample,Lithobates sylvaticus,fecal,2022-05-09,STP1710.7 pilot,,Lithobates,sylvaticus,NA,frog,Walker,STP1710.7 pilot,3,5,Bridgestone Firestone WMA,TN,,,Romer,2022-03-10,2022-03-15,2022-05-09,,15,
UHM56-10854.mzML,UHM56-10854_MS1.mzML,UHM56-10854,UHM56,10854,sample,Lithobates sylvaticus,fecal,2022-03-21,control,,Lithobates,sylvaticus,NA,frog,Walker,control,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-13,2022-03-17,2022-03-21,,14,
UHM56-22414.mzML,UHM56-22414_MS1.mzML,UHM56-22414,UHM56,22414,sample,Lithobates sylvaticus,fecal,2022-04-11,control,,Lithobates,sylvaticus,NA,frog,Walker,control,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-13,2022-03-17,2022-04-11,,13,
UHM56-22416.mzML,UHM56-22416_MS1.mzML,UHM56-22416,UHM56,22416,sample,Lithobates sylvaticus,fecal,2022-05-12,control,,Lithobates,sylvaticus,NA,frog,Walker,control,1,4,Bridgestone Firestone WMA,TN,,,Romer,2022-03-13,2022-03-17,2022-05-12,,18,
UHM72-22446.mzML,UHM72-22446_MS1.mzML,UHM72-22446,UHM72,22446,sample,Lithobates sylvaticus,fecal,2022-03-24,control,,Lithobates,sylvaticus,NA,frog,Walker,control,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-03-17,2022-03-22,2022-03-24,,14,
UHM72-22448.mzML,UHM72-22448_MS1.mzML,UHM72-22448,UHM72,22448,sample,Lithobates sylvaticus,fecal,2022-04-20,control,,Lithobates,sylvaticus,NA,frog,Walker,control,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-03-17,2022-03-22,2022-04-20,,16,
UHM72-22470.mzML,UHM72-22470_MS1.mzML,UHM72-22470,UHM72,22470,sample,Lithobates sylvaticus,fecal,2022-05-19,control,,Lithobates,sylvaticus,NA,frog,Walker,control,2,2,Bridgestone Firestone WMA,TN,,,Romer,2022-03-17,2022-03-22,2022-05-19,,16,
